,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_DATE,valid_end_DATE,invalid_reason
27,2617518,Heart failure patient with left ventricular systolic dysfunction (lvsd) not documented to be on either angiotensin-converting enzyme inhibitor or angiotensin-receptor blocker (ace-i or arb) therapy,Observation,HCPCS,HCPCS,,G8028,1970-01-01,2014-11-11,D
28,2617520,Heart failure patient with left ventricular systolic dysfunction (lvsd) documented to be on beta-blocker therapy,Observation,HCPCS,HCPCS,,G8030,1970-01-01,2014-11-11,D
29,2617526,Coronary artery disease patient documented to be on antiplatelet therapy,Observation,HCPCS,HCPCS,,G8036,1970-01-01,2014-11-11,D
30,2617527,Coronary artery disease patient not documented to be on antiplatelet therapy,Observation,HCPCS,HCPCS,,G8037,1970-01-01,2014-11-11,D
31,2617529,Coronary artery disease - patient with low-density lipoprotein documented to be greater than 100mg/dl,Observation,HCPCS,HCPCS,,G8039,1970-01-01,2014-11-11,D
32,2617530,Coronary artery disease - patient with low-density lipoprotein documented to be less than or equal to 100mg/dl,Observation,HCPCS,HCPCS,,G8040,1970-01-01,2014-11-11,D
33,2617544,End stage renal disease patient with documented dialysis dose of urr greater than or equal to 65% (or kt/v greater than or equal to 1.2),Observation,HCPCS,HCPCS,,G8075,1970-01-01,2014-11-11,D
34,2617545,End stage renal disease patient with documented dialysis dose of urr less than 65% (or kt/v less than 1.2),Observation,HCPCS,HCPCS,,G8076,1970-01-01,2014-11-11,D
35,2617547,End stage renal disease patient with documented hematocrit greater than or equal to 33 (or hemoglobin greater than or equal to 11),Observation,HCPCS,HCPCS,,G8078,1970-01-01,2014-11-11,D
36,2617548,End stage renal disease patient with documented hematocrit less than 33 (or hemoglobin less than 11),Observation,HCPCS,HCPCS,,G8079,1970-01-01,2014-11-11,D
37,2617550,End stage renal disease patient requiring hemodialysis vascular access documented to have received autogenous av fistula,Observation,HCPCS,HCPCS,,G8081,1970-01-01,2014-11-11,D
38,2617552,End-stage renal disease patient requiring hemodialysis vascular access was not an eligible candidate for autogenous av fistula,Observation,HCPCS,HCPCS,,G8085,1970-01-01,2014-11-11,D
39,2617553,"Newly diagnosed chronic obstructive pulmonary disease (copd) patient documented to have received smoking cessation intervention, within 3 months of diagnosis",Observation,HCPCS,HCPCS,,G8093,1970-01-01,2014-11-11,D
40,2617557,Newly diagnosed osteoporosis patients documented to have been treated with antiresorptive therapy and/or pth within 3 months of diagnosis,Observation,HCPCS,HCPCS,,G8103,1970-01-01,2014-11-11,D
41,2617597,Patient with heart failure and atrial fibrillation documented to be on warfarin therapy,Observation,HCPCS,HCPCS,,G8183,1970-01-01,2014-11-11,D
42,2617787,"For patients with er or pr positive, stage ic-iii breast cancer, clinician did not document that the patient received or was prescribed tamoxifen or aromatase inhibitor",Observation,HCPCS,HCPCS,,G8380,1970-01-01,2014-11-11,D
43,2617788,"For patients with er or pr positive, stage ic-iii breast cancer, clinician documented or prescribed that the patient is receiving tamoxifen or aromatase inhibitor",Observation,HCPCS,HCPCS,,G8381,1970-01-01,2014-11-11,D
44,2617789,Multiple myeloma patients with no documentation of prescribed or received intravenous bisphosphonate therapy,Observation,HCPCS,HCPCS,,G8382,1970-01-01,2014-11-11,D
45,2617792,Diabetic patients with no documentation of hemoglobin a1c level (within the last 12 months),Observation,HCPCS,HCPCS,,G8385,1970-01-01,2014-11-11,D
46,2617794,End-stage renal disease patient with a hematocrit or hemoglobin not documented,Observation,HCPCS,HCPCS,,G8387,1970-01-01,2014-11-11,D
47,2617795,"End-stage renal disease patient with urr or kt/v value not documented, but otherwise eligible for measure",Observation,HCPCS,HCPCS,,G8388,1970-01-01,2014-11-11,D
48,2617866,Documentation of new diagnosis of initial or recurrent episode of major depressive disorder,Observation,HCPCS,HCPCS,,G8467,1970-01-01,2014-11-11,D
49,8532,FEMALE,Gender,Gender,Gender,S,F,1970-01-01,2099-12-31,
50,8507,MALE,Gender,Gender,Gender,S,M,1970-01-01,2099-12-31,
51,38003563,Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Hispanic,1970-01-01,2099-12-31,
52,38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Not Hispanic,1970-01-01,2099-12-31,
53,0,No matching concept,Metadata,None,Undefined,,No matching concept,1970-01-01,2099-12-31,
54,38003565,"Payer enrollment status ""Deceased""",Type Concept,Death Type,Death Type,S,OMOP generated,1970-01-01,2099-12-31,
55,1309204,Adenosine,Drug,RxNorm,Ingredient,S,296,1970-01-01,2099-12-31,
56,19015230,Adenosine Triphosphate,Drug,RxNorm,Ingredient,S,318,1970-01-01,2099-12-31,
57,1541079,Corticotropin,Drug,RxNorm,Ingredient,S,376,1970-01-01,2099-12-31,
58,1154343,Albuterol,Drug,RxNorm,Ingredient,S,435,1970-01-01,2099-12-31,
59,1381504,Alprostadil,Drug,RxNorm,Ingredient,S,598,1970-01-01,2099-12-31,
60,1309944,Amiodarone,Drug,RxNorm,Ingredient,S,703,1970-01-01,2099-12-31,
61,914335,Atropine,Drug,RxNorm,Ingredient,S,1223,1970-01-01,2099-12-31,
62,1314865,Azacitidine,Drug,RxNorm,Ingredient,S,1251,1970-01-01,2099-12-31,
63,920458,Betamethasone,Drug,RxNorm,Ingredient,S,1514,1970-01-01,2099-12-31,
64,732893,Bupivacaine,Drug,RxNorm,Ingredient,S,1815,1970-01-01,2099-12-31,
65,1797258,Cilastatin,Drug,RxNorm,Ingredient,S,2540,1970-01-01,2099-12-31,
66,1797513,Ciprofloxacin,Drug,RxNorm,Ingredient,S,2551,1970-01-01,2099-12-31,
67,1310317,Cyclophosphamide,Drug,RxNorm,Ingredient,S,3002,1970-01-01,2099-12-31,
68,1311078,Cytarabine,Drug,RxNorm,Ingredient,S,3041,1970-01-01,2099-12-31,
69,1343916,Epinephrine,Drug,RxNorm,Ingredient,S,3992,1970-01-01,2099-12-31,
70,1548195,Estradiol,Drug,RxNorm,Ingredient,S,4083,1970-01-01,2099-12-31,
71,1560524,Glucose,Drug,RxNorm,Ingredient,S,4850,1970-01-01,2099-12-31,
72,1367571,heparin,Drug,RxNorm,Ingredient,S,5224,1970-01-01,2099-12-31,
73,975125,Hydrocortisone,Drug,RxNorm,Ingredient,S,5492,1970-01-01,2099-12-31,
74,1380068,Interferon Alfa-2b,Drug,RxNorm,Ingredient,S,5880,1970-01-01,2099-12-31,
75,19093848,Magnesium Sulfate,Drug,RxNorm,Ingredient,S,6585,1970-01-01,2099-12-31,
76,1500211,Medroxyprogesterone,Drug,RxNorm,Ingredient,S,6691,1970-01-01,2099-12-31,
77,702774,Mepivacaine,Drug,RxNorm,Ingredient,S,6759,1970-01-01,2099-12-31,
78,1506270,Methylprednisolone,Drug,RxNorm,Ingredient,S,6902,1970-01-01,2099-12-31,
79,708298,Midazolam,Drug,RxNorm,Ingredient,S,6960,1970-01-01,2099-12-31,
80,1112921,Ipratropium,Drug,RxNorm,Ingredient,S,7213,1970-01-01,2099-12-31,
81,1114122,Nalbuphine,Drug,RxNorm,Ingredient,S,7238,1970-01-01,2099-12-31,
82,1522957,Octreotide,Drug,RxNorm,Ingredient,S,7617,1970-01-01,2099-12-31,
83,1728416,Penicillin G,Drug,RxNorm,Ingredient,S,7980,1970-01-01,2099-12-31,
84,1135766,Phenylephrine,Drug,RxNorm,Ingredient,S,8163,1970-01-01,2099-12-31,
85,1746114,Piperacillin,Drug,RxNorm,Ingredient,S,8339,1970-01-01,2099-12-31,
86,836208,Succinylcholine,Drug,RxNorm,Ingredient,S,10154,1970-01-01,2099-12-31,
87,1636780,Testosterone,Drug,RxNorm,Ingredient,S,10379,1970-01-01,2099-12-31,
88,903963,Triamcinolone,Drug,RxNorm,Ingredient,S,10759,1970-01-01,2099-12-31,
89,1308290,Vincristine,Drug,RxNorm,Ingredient,S,11202,1970-01-01,2099-12-31,
90,19097463,gadoteridol,Drug,RxNorm,Ingredient,S,25483,1970-01-01,2099-12-31,
91,1000560,Ondansetron,Drug,RxNorm,Ingredient,S,26225,1970-01-01,2099-12-31,
92,1136487,ropivacaine,Drug,RxNorm,Ingredient,S,35780,1970-01-01,2099-12-31,
93,1136980,Ketorolac,Drug,RxNorm,Ingredient,S,35827,1970-01-01,2099-12-31,
94,1741122,tazobactam,Drug,RxNorm,Ingredient,S,37617,1970-01-01,2099-12-31,
95,1343039,Triptorelin,Drug,RxNorm,Ingredient,S,38782,1970-01-01,2099-12-31,
96,1351541,Leuprolide,Drug,RxNorm,Ingredient,S,42375,1970-01-01,2099-12-31,
97,1378382,Paclitaxel,Drug,RxNorm,Ingredient,S,56946,1970-01-01,2099-12-31,
98,787787,hyaluronate,Drug,RxNorm,Ingredient,S,62372,2006-04-02,2099-12-31,
99,1301025,Enoxaparin,Drug,RxNorm,Ingredient,S,67108,1970-01-01,2099-12-31,
100,1304850,Filgrastim,Drug,RxNorm,Ingredient,S,68442,1970-01-01,2099-12-31,
101,1308473,tinzaparin,Drug,RxNorm,Ingredient,S,69646,1970-01-01,2099-12-31,
102,722424,Interferon beta-1a,Drug,RxNorm,Ingredient,S,75917,1970-01-01,2099-12-31,
103,1301125,Epoetin Alfa,Drug,RxNorm,Ingredient,S,105694,1970-01-01,2099-12-31,
104,1512480,Ibandronate,Drug,RxNorm,Ingredient,S,115264,1970-01-01,2099-12-31,
105,919345,Gentamicin Sulfate (USP),Drug,RxNorm,Ingredient,,142438,1970-01-01,2017-08-06,D
106,19024227,Methacholine,Drug,RxNorm,Ingredient,S,155080,1970-01-01,2099-12-31,
107,19086176,"BCG, Live, Tice Strain",Drug,RxNorm,Ingredient,S,221050,1970-01-01,2099-12-31,
108,1192218,Levalbuterol,Drug,RxNorm,Ingredient,S,237159,1970-01-01,2099-12-31,
109,1304643,darbepoetin alfa,Drug,RxNorm,Ingredient,S,283838,1970-01-01,2099-12-31,
110,1110942,omalizumab,Drug,RxNorm,Ingredient,S,302379,1970-01-01,2099-12-31,
111,1186087,abatacept,Drug,RxNorm,Ingredient,S,614391,2006-03-12,2099-12-31,
112,19090761,regadenoson,Drug,RxNorm,Ingredient,S,640062,2008-06-01,2099-12-31,
113,528323,Hepatitis B Surface Antigen Vaccine,Drug,RxNorm,Ingredient,S,797752,2008-06-29,2099-12-31,
114,529303,"diphtheria toxoid vaccine, inactivated",Drug,RxNorm,Ingredient,S,798304,2008-06-29,2099-12-31,
115,529411,"tetanus toxoid vaccine, inactivated",Drug,RxNorm,Ingredient,S,798306,2008-06-29,2099-12-31,
116,44825596,"Prolonged pregnancy, unspecified as to episode of care or not applicable",Observation,ICD9CM,ICD9CM code,,645.00,1970-01-01,2014-09-30,D
117,44831379,"Prolonged pregnancy, delivered, with or without mention of antepartum condition",Observation,ICD9CM,ICD9CM code,,645.01,1970-01-01,2014-09-30,D
118,44832526,"Prolonged pregnancy, antepartum condition or complication",Observation,ICD9CM,ICD9CM code,,645.03,1970-01-01,2014-09-30,D
119,44837345,"Unspecified intrapelvic protrusion of acetabulum, site unspecified",Condition,ICD9CM,ICD9CM code,,718.60,1970-01-01,2014-09-30,D
120,1318988,Nifedipine 10 MG Oral Capsule [Adalat],Drug,RxNorm,Branded Drug,S,91691,1970-01-01,2099-12-31,
121,905343,mometasone furoate 1 MG/ML Topical Cream [Elocon],Drug,RxNorm,Branded Drug,S,92582,1970-01-01,2099-12-31,
122,19135995,Fluocinonide 0.0005 MG/MG Topical Gel [Lidex],Drug,RxNorm,Branded Drug,S,93130,1970-01-01,2099-12-31,
123,904597,Hydrochlorothiazide 50 MG / Triamterene 75 MG Oral Tablet [Maxzide],Drug,RxNorm,Branded Drug,S,93252,1970-01-01,2099-12-31,
124,904598,Hydrochlorothiazide 25 MG / Triamterene 37.5 MG Oral Tablet [Maxzide],Drug,RxNorm,Branded Drug,S,93253,1970-01-01,2099-12-31,
125,907045,Metolazone 0.5 MG Oral Tablet [Mykrox],Drug,RxNorm,Branded Drug,S,93382,1970-01-01,2099-12-31,
126,917380,Desoximetasone 0.0025 MG/MG Topical Ointment [Topicort],Drug,RxNorm,Branded Drug,S,94348,1970-01-01,2099-12-31,
127,19136021,Amoxicillin 25 MG/ML Oral Suspension [Trimox],Drug,RxNorm,Branded Drug,S,94407,1970-01-01,2099-12-31,
128,19136022,Amoxicillin 50 MG/ML Oral Suspension [Trimox],Drug,RxNorm,Branded Drug,S,94408,1970-01-01,2099-12-31,
129,19000907,Albuterol 2 MG Oral Tablet [Ventolin],Drug,RxNorm,Branded Drug,S,102377,1970-01-01,2099-12-31,
130,19000908,Albuterol 4 MG Oral Tablet [Ventolin],Drug,RxNorm,Branded Drug,S,102378,1970-01-01,2099-12-31,
131,19001227,Cephalothin 1 MG/ML Injectable Solution [Keflin],Drug,RxNorm,Branded Drug,S,102750,1970-01-01,2099-12-31,
132,19002011,Tolmetin 400 MG Oral Capsule [Tolectin DS],Drug,RxNorm,Branded Drug,S,103161,1970-01-01,2099-12-31,
133,19002308,Desonide 0.5 MG/ML Topical Cream [Tridesilon],Drug,RxNorm,Branded Drug,S,103439,1970-01-01,2099-12-31,
134,19002487,Mupirocin 0.02 MG/MG Topical Ointment [Bactroban],Drug,RxNorm,Branded Drug,S,103570,1970-01-01,2099-12-31,
135,19003023,Granisetron 1 MG Oral Tablet [Kytril],Drug,RxNorm,Branded Drug,S,103909,1970-01-01,2099-12-31,
136,19003030,fluvastatin 20 MG Oral Capsule [Lescol],Drug,RxNorm,Branded Drug,S,103918,1970-01-01,2099-12-31,
137,19003051,fluvastatin 40 MG Oral Capsule [Lescol],Drug,RxNorm,Branded Drug,S,103919,1970-01-01,2099-12-31,
138,19003220,Cimetidine 200 MG Oral Tablet [Tagamet],Drug,RxNorm,Branded Drug,S,104062,1970-01-01,2099-12-31,
139,19003290,Ranitidine 25 MG/ML Injectable Solution [Zantac],Drug,RxNorm,Branded Drug,S,104084,1970-01-01,2099-12-31,
140,19003315,Famotidine 20 MG Oral Tablet [Pepcid],Drug,RxNorm,Branded Drug,S,104094,1970-01-01,2099-12-31,
141,19003316,Famotidine 40 MG Oral Tablet [Pepcid],Drug,RxNorm,Branded Drug,S,104095,1970-01-01,2099-12-31,
142,19003317,Nizatidine 150 MG Oral Capsule [Axid],Drug,RxNorm,Branded Drug,S,104096,1970-01-01,2099-12-31,
143,19003318,Nizatidine 300 MG Oral Capsule [Axid],Drug,RxNorm,Branded Drug,S,104097,1970-01-01,2099-12-31,
144,19003319,Misoprostol 0.2 MG Oral Tablet [Cytotec],Drug,RxNorm,Branded Drug,S,104098,1970-01-01,2099-12-31,
145,19003394,mesalamine 400 MG Delayed Release Oral Tablet [Asacol],Drug,RxNorm,Branded Drug,S,104112,1970-01-01,2099-12-31,
146,19003825,Doxazosin 1 MG Oral Tablet [Cardura],Drug,RxNorm,Branded Drug,S,104367,1970-01-01,2099-12-31,
147,19003826,Doxazosin 2 MG Oral Tablet [Cardura],Drug,RxNorm,Branded Drug,S,104368,1970-01-01,2099-12-31,
148,19003827,Doxazosin 4 MG Oral Tablet [Cardura],Drug,RxNorm,Branded Drug,S,104369,1970-01-01,2099-12-31,
149,19003829,Lisinopril 2.5 MG Oral Tablet [Zestril],Drug,RxNorm,Branded Drug,S,104375,1970-01-01,2099-12-31,
150,19003851,Lisinopril 10 MG Oral Tablet [Zestril],Drug,RxNorm,Branded Drug,S,104377,1970-01-01,2099-12-31,
151,19003852,Lisinopril 20 MG Oral Tablet [Zestril],Drug,RxNorm,Branded Drug,S,104378,1970-01-01,2099-12-31,
152,19003854,Ramipril 2.5 MG Oral Capsule [Altace],Drug,RxNorm,Branded Drug,S,104384,1970-01-01,2099-12-31,
153,19003855,Ramipril 5 MG Oral Capsule [Altace],Drug,RxNorm,Branded Drug,S,104385,1970-01-01,2099-12-31,
154,19004081,Simvastatin 10 MG Oral Tablet [Zocor],Drug,RxNorm,Branded Drug,S,104490,1970-01-01,2099-12-31,
155,19004082,Simvastatin 20 MG Oral Tablet [Zocor],Drug,RxNorm,Branded Drug,S,104491,1970-01-01,2099-12-31,
156,19004165,salmeterol 0.021 MG/ACTUAT Inhalant Solution [Serevent],Drug,RxNorm,Branded Drug,S,104531,1970-01-01,2099-12-31,
157,19004472,Diazepam 10 MG Oral Tablet [Valium],Drug,RxNorm,Branded Drug,S,104701,1970-01-01,2099-12-31,
158,19004541,Lorazepam 1 MG Oral Tablet [Ativan],Drug,RxNorm,Branded Drug,S,104719,1970-01-01,2099-12-31,
159,19004547,Amobarbital 50 MG / Secobarbital 50 MG Oral Capsule [Tuinal],Drug,RxNorm,Branded Drug,S,104726,1970-01-01,2099-12-31,
160,19004670,Clozapine 25 MG Oral Tablet [Clozaril],Drug,RxNorm,Branded Drug,S,104775,1970-01-01,2099-12-31,
161,19004691,Clozapine 100 MG Oral Tablet [Clozaril],Drug,RxNorm,Branded Drug,S,104776,1970-01-01,2099-12-31,
162,19004693,Risperidone 1 MG Oral Tablet [Risperdal],Drug,RxNorm,Branded Drug,S,104781,1970-01-01,2099-12-31,
163,19004694,Risperidone 2 MG Oral Tablet [Risperdal],Drug,RxNorm,Branded Drug,S,104782,1970-01-01,2099-12-31,
164,19004695,Risperidone 3 MG Oral Tablet [Risperdal],Drug,RxNorm,Branded Drug,S,104783,1970-01-01,2099-12-31,
165,19004818,Phenelzine 15 MG Oral Tablet [Nardil],Drug,RxNorm,Branded Drug,S,104836,1970-01-01,2099-12-31,
166,19004895,Fluoxetine 20 MG Oral Capsule [Prozac],Drug,RxNorm,Branded Drug,S,104849,1970-01-01,2099-12-31,
167,19006207,lamotrigine 100 MG Oral Tablet [Lamictal],Drug,RxNorm,Branded Drug,S,105018,1970-01-01,2099-12-31,
168,19006208,lamotrigine 25 MG Oral Tablet [Lamictal],Drug,RxNorm,Branded Drug,S,105019,1970-01-01,2099-12-31,
169,19006231,gabapentin 100 MG Oral Capsule [Neurontin],Drug,RxNorm,Branded Drug,S,105028,1970-01-01,2099-12-31,
170,19006232,gabapentin 300 MG Oral Capsule [Neurontin],Drug,RxNorm,Branded Drug,S,105029,1970-01-01,2099-12-31,
171,19006233,gabapentin 400 MG Oral Capsule [Neurontin],Drug,RxNorm,Branded Drug,S,105030,1970-01-01,2099-12-31,
172,19006240,Levodopa 500 MG Oral Tablet [Larodopa],Drug,RxNorm,Branded Drug,S,105038,1970-01-01,2099-12-31,
173,19006314,Nicotine 4 MG Chewing Gum [Nicorette],Drug,RxNorm,Branded Drug,S,105071,1970-01-01,2099-12-31,
174,19006470,Cefotaxime 200 MG/ML Injectable Solution [Claforan],Drug,RxNorm,Branded Drug,S,105174,1970-01-01,2099-12-31,
175,19006907,Chlorpropamide 100 MG Oral Tablet [Diabinese],Drug,RxNorm,Branded Drug,S,105369,1970-01-01,2099-12-31,
176,19007338,Etoposide 50 MG Oral Capsule [Vepesid],Drug,RxNorm,Branded Drug,S,105592,1970-01-01,2099-12-31,
177,19007424,Azathioprine 50 MG Oral Tablet [Imuran],Drug,RxNorm,Branded Drug,S,105611,1970-01-01,2099-12-31,
178,19007458,Tamoxifen 10 MG Oral Tablet [Nolvadex],Drug,RxNorm,Branded Drug,S,105630,1970-01-01,2099-12-31,
179,19008027,Naproxen 500 MG Oral Tablet [Naprosyn],Drug,RxNorm,Branded Drug,S,105899,1970-01-01,2099-12-31,
180,19008091,Naproxen 375 MG Oral Tablet [Naprosyn],Drug,RxNorm,Branded Drug,S,105914,1970-01-01,2099-12-31,
181,19008158,Sulindac 200 MG Oral Tablet [Clinoril],Drug,RxNorm,Branded Drug,S,105944,1970-01-01,2099-12-31,
182,19008287,Dichlorphenamide 50 MG Oral Tablet [Daranide],Drug,RxNorm,Branded Drug,S,106042,1970-01-01,2099-12-31,
183,19009384,"insulin human, isophane 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Humulin]",Drug,RxNorm,Branded Drug,S,106892,1970-01-01,2099-12-31,
184,19010023,Povidone-Iodine 50 MG/ML Topical Spray [Betadine],Drug,RxNorm,Branded Drug,S,108204,1970-01-01,2099-12-31,
185,19010120,Ketoconazole 20 MG/ML Topical Cream [Nizoral],Drug,RxNorm,Branded Drug,S,108329,1970-01-01,2099-12-31,
186,19010178,ceftibuten 400 MG Oral Capsule [Cedax],Drug,RxNorm,Branded Drug,S,108395,1970-01-01,2099-12-31,
187,19010270,Tacrolimus 1 MG Oral Capsule [Prograf],Drug,RxNorm,Branded Drug,S,108513,1970-01-01,2099-12-31,
188,19010678,apraclonidine 5 MG/ML Ophthalmic Solution [Iopidine],Drug,RxNorm,Branded Drug,S,108896,1970-01-01,2099-12-31,
189,19012531,"Estrogens, Conjugated (USP) 0.625 MG Oral Tablet [Premarin]",Drug,RxNorm,Branded Drug,S,150840,1970-01-01,2099-12-31,
190,19012852,dorzolamide 20 MG/ML Ophthalmic Solution [Trusopt],Drug,RxNorm,Branded Drug,S,151100,1970-01-01,2099-12-31,
191,1348266,anastrozole 1 MG Oral Tablet [Arimidex],Drug,RxNorm,Branded Drug,S,151124,1970-01-01,2099-12-31,
192,742269,topiramate 50 MG Oral Tablet [Topamax],Drug,RxNorm,Branded Drug,S,151227,1970-01-01,2099-12-31,
193,742270,topiramate 100 MG Oral Tablet [Topamax],Drug,RxNorm,Branded Drug,S,151228,1970-01-01,2099-12-31,
194,742271,topiramate 200 MG Oral Tablet [Topamax],Drug,RxNorm,Branded Drug,S,151229,1970-01-01,2099-12-31,
195,1314005,Atenolol 50 MG Oral Tablet [Tenormin],Drug,RxNorm,Branded Drug,S,152414,1970-01-01,2099-12-31,
196,1150348,meloxicam 7.5 MG Oral Tablet [Mobic],Drug,RxNorm,Branded Drug,S,152697,1970-01-01,2099-12-31,
197,1150349,meloxicam 15 MG Oral Tablet [Mobic],Drug,RxNorm,Branded Drug,S,152698,1970-01-01,2099-12-31,
198,1703654,Itraconazole 10 MG/ML Oral Solution [Sporanox],Drug,RxNorm,Branded Drug,S,152854,1970-01-01,2099-12-31,
199,742302,topiramate 25 MG Oral Tablet [Topamax],Drug,RxNorm,Branded Drug,S,152855,1970-01-01,2099-12-31,
200,1539406,Simvastatin 40 MG Oral Tablet [Zocor],Drug,RxNorm,Branded Drug,S,152923,1970-01-01,2099-12-31,
201,1704184,Lamivudine 150 MG Oral Tablet [Epivir],Drug,RxNorm,Branded Drug,S,152931,1970-01-01,2099-12-31,
202,1781408,Stavudine 20 MG Oral Capsule [Zerit],Drug,RxNorm,Branded Drug,S,152942,1970-01-01,2099-12-31,
203,1781410,Stavudine 40 MG Oral Capsule [Zerit],Drug,RxNorm,Branded Drug,S,152944,1970-01-01,2099-12-31,
204,713824,ropinirole 0.25 MG Oral Tablet [Requip],Drug,RxNorm,Branded Drug,S,152952,1970-01-01,2099-12-31,
205,713825,ropinirole 1 MG Oral Tablet [Requip],Drug,RxNorm,Branded Drug,S,152953,1970-01-01,2099-12-31,
206,713827,ropinirole 5 MG Oral Tablet [Requip],Drug,RxNorm,Branded Drug,S,152955,1970-01-01,2099-12-31,
207,19016659,Trimetrexate 12.5 MG/ML Injectable Solution [Neutrexin],Drug,RxNorm,Branded Drug,S,152960,1970-01-01,2099-12-31,
